questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_HCW_002,HOW_COMPUTERS_WORK,HCW_C01_IPO,HCW_F01_IPO_MODEL,HCW_FAM01_IPO_LABELLING,HCW_RG_SYSTEM_MODEL,D1,UNDERSTAND,mcq_single,Marks are entered into a grade calculator and a grade is produced. Which part is the output?,The marks,The comparison of each mark against a threshold,The storage the marks came from,The grade,D,The grade,"The grade is what the task produces, and the output is always what a task produces. The marks are what it was given, and comparing them against thresholds is the work that turns one into the other.",LEGACY_REMAP,48d498
GB_HCW_003,HOW_COMPUTERS_WORK,HCW_C01_IPO,HCW_F01_IPO_MODEL,HCW_FAM01_IPO_LABELLING,HCW_RG_SYSTEM_MODEL,D1,UNDERSTAND,mcq_single,A temperature in Celsius is converted to Fahrenheit. Which part is the processing?,Applying the conversion formula,The Celsius value,The Fahrenheit value,The thermometer that took the reading,A,Applying the conversion formula,"Processing is the work that turns what was given into what is produced. The two temperatures are the input and the output, and the thermometer is outside the task altogether.",LEGACY_REMAP,4972cf
GB_HCW_004,HOW_COMPUTERS_WORK,HCW_C01_IPO,HCW_F01_IPO_MODEL,HCW_FAM01_IPO_LABELLING,HCW_RG_SYSTEM_MODEL,D1,UNDERSTAND,mcq_single,A program reads a list of readings and writes a summary file to disk. Nothing appears on the screen. What is the output?,"Nothing, because nothing appeared on the screen",The list of readings,The summary file written to disk,The reading of the list,C,The summary file written to disk,"Output is what the task produces, wherever it goes. A file on disk is as much an output as something displayed — equating output with the screen is what makes this worth asking.",LEGACY_REMAP,4b4d74
GB_HCW_005,HOW_COMPUTERS_WORK,HCW_C01_IPO,HCW_F01_IPO_MODEL,HCW_FAM01_IPO_LABELLING,HCW_RG_SYSTEM_MODEL,D2,UNDERSTAND,mcq_single,Which sequence describes how a simple computing task proceeds?,"Output, then input, then processing","Input, then processing, then output","Processing, then output, then input","Input, then output, then processing",B,"Input, then processing, then output","Something has to be given before it can be worked on, and worked on before a result exists. Every other order needs a result before the work that produces it.",LEGACY_KEEP,391875
GB_HCW_006,HOW_COMPUTERS_WORK,HCW_C02_HARDWARE_SOFTWARE,HCW_F02_HARDWARE_VS_SOFTWARE,HCW_FAM02_HW_SW_CLASSIFICATION,HCW_RG_CLASSIFICATION,D1,REMEMBER,mcq_single,Which of these is hardware?,A printer driver,An operating system,A spreadsheet application,A hard disk,D,A hard disk,"A hard disk is a physical object; the other three are all instructions. A driver is the confusing case, because it exists to operate a physical device and is itself software.",LEGACY_REWRITE,39b6ac
GB_HCW_007,HOW_COMPUTERS_WORK,HCW_C02_HARDWARE_SOFTWARE,HCW_F02_HARDWARE_VS_SOFTWARE,HCW_FAM02_HW_SW_CLASSIFICATION,HCW_RG_CLASSIFICATION,D1,REMEMBER,mcq_single,Which of these is software?,The operating system,The processor,The memory modules,The motherboard,A,The operating system,"An operating system is a set of instructions, however much it feels like part of the machine because it arrives with it. The other three are physical components.",LEGACY_REWRITE,3ed5c2
GB_HCW_008,HOW_COMPUTERS_WORK,HCW_C02_HARDWARE_SOFTWARE,HCW_F02_HARDWARE_VS_SOFTWARE,HCW_FAM02_HW_SW_CLASSIFICATION,HCW_RG_CLASSIFICATION,D1,REMEMBER,mcq_single,A printer driver is best described as which of these?,"Hardware, because it is part of the printer","Hardware, because it is installed with the printer","Software, because it is a set of instructions, even though its job is to operate hardware","Neither, because it sits between the two",C,"Software, because it is a set of instructions, even though its job is to operate hardware","What decides the classification is whether something is physical or is instructions, not what it works on or where it came from. A driver operates a device and is itself entirely made of instructions.",AUTHORED,
GB_HCW_009,HOW_COMPUTERS_WORK,HCW_C02_HARDWARE_SOFTWARE,HCW_F03_PROGRAM_IS_INSTRUCTIONS,HCW_FAM03_PROGRAM_NATURE,HCW_RG_CLASSIFICATION,D2,UNDERSTAND,mcq_single,A program is written to add two numbers. Someone gives it a word instead of a number. What does it do?,Works out that a number was meant and asks again,"Whatever its instructions say for that case, and if they say nothing it fails",Ignores the word and adds nothing,Corrects the word to the nearest number,B,"Whatever its instructions say for that case, and if they say nothing it fails",A program does exactly what it was told and nothing else; behaviour nobody wrote does not happen. Expecting it to infer what was meant is the belief that makes later debugging bewildering.,AUTHORED,
GB_HCW_010,HOW_COMPUTERS_WORK,HCW_C02_HARDWARE_SOFTWARE,HCW_F03_PROGRAM_IS_INSTRUCTIONS,HCW_FAM03_PROGRAM_NATURE,HCW_RG_CLASSIFICATION,D3,UNDERSTAND,mcq_single,A program handles every case its author thought of and behaves strangely on one they did not. What does that tell you about programs in general?,The program has learned a behaviour of its own,The machine substituted a reasonable default,The program is faulty in a way unrelated to its instructions,A program contains only the cases someone wrote; an unconsidered case has no defined behaviour,D,A program contains only the cases someone wrote; an unconsidered case has no defined behaviour,"There is no part of a program that was not written, so a case nobody handled falls through to whatever the surrounding instructions happen to do. That is why an unexpected input produces strange behaviour rather than a sensible one.",AUTHORED,
GB_HCW_011,HOW_COMPUTERS_WORK,HCW_C03_PROGRAM_VS_PROCESS,HCW_F04_PROGRAM_VS_PROCESS,HCW_FAM04_PROGRAM_PROCESS_DISTINCTION,HCW_RG_EXECUTION_MODEL,D2,ANALYZE,mcq_single,An application is closed. What is left on the machine?,"The application's files on storage, unchanged; what it held in working memory is gone",Nothing; closing an application removes it from the machine,"Everything, including what it held in working memory","Only the documents it created, not the application itself",A,"The application's files on storage, unchanged; what it held in working memory is gone","The files on storage are what was installed and they are untouched by closing. What ends is the running copy, along with whatever it was holding in memory at the time.",AUTHORED,
GB_HCW_012,HOW_COMPUTERS_WORK,HCW_C03_PROGRAM_VS_PROCESS,HCW_F04_PROGRAM_VS_PROCESS,HCW_FAM04_PROGRAM_PROCESS_DISTINCTION,HCW_RG_EXECUTION_MODEL,D3,ANALYZE,mcq_single,"The same application is started twice, so two windows are open. What exists on the machine?","One copy on storage and one running copy, shown in two windows",Two copies on storage and two running copies,"One copy on storage, and two running copies each with its own working memory",One copy on storage and two running copies sharing one block of memory,C,"One copy on storage, and two running copies each with its own working memory","Starting a program does not duplicate it on disk; it creates another running copy from the same stored one. Each running copy gets its own working memory, which is why one can be busy while the other is idle.",AUTHORED,
GB_HCW_013,HOW_COMPUTERS_WORK,HCW_C03_PROGRAM_VS_PROCESS,HCW_F04_PROGRAM_VS_PROCESS,HCW_FAM04_PROGRAM_PROCESS_DISTINCTION,HCW_RG_EXECUTION_MODEL,D4,ANALYZE,mcq_single,A machine is restarted. Afterwards the application is still installed but everything it had been showing is gone. The application was never uninstalled and its files were not deleted. What accounts for both facts?,The application was reinstalled automatically during the restart,The stored files survived the restart; the running copy and its working memory did not,The restart cleared the storage and the application was restored from a backup,The application saved its state and then deleted it,B,The stored files survived the restart; the running copy and its working memory did not,"Two things have to be explained at once: something survived and something did not, and the split falls exactly between storage and working memory. Nothing reinstalled or restored anything — the files were never gone.",AUTHORED,
GB_HCW_014,HOW_COMPUTERS_WORK,HCW_C03_PROGRAM_VS_PROCESS,HCW_F05_WORKING_MEMORY_ROLE,HCW_FAM05_WORKING_MEMORY_EFFECT,HCW_RG_EXECUTION_MODEL,D2,APPLY,mcq_single,Three programs are open and one of them is closed. What happens to the machine's available working memory?,"It stays the same, because memory is consumed permanently once used","It increases, but the space freed is on the disk rather than in memory","It stays the same, because each machine uses a fixed amount of memory whatever runs","It increases, because the memory that program was using is released",D,"It increases, because the memory that program was using is released","Working memory is lent to a running program and taken back when it ends. Nothing is consumed permanently, and the space released is memory rather than storage.",LEGACY_REWRITE,39e40a
GB_HCW_015,HOW_COMPUTERS_WORK,HCW_C03_PROGRAM_VS_PROCESS,HCW_F05_WORKING_MEMORY_ROLE,HCW_FAM05_WORKING_MEMORY_EFFECT,HCW_RG_EXECUTION_MODEL,D3,APPLY,mcq_single,A student opens many applications and the machine becomes slow. Which resource is most likely under pressure?,Working memory,The keyboard,The printer,The webcam,A,Working memory,"Each open application holds working memory, and once there is not enough the machine spends its time moving data in and out of storage. Nothing about opening applications loads the peripherals.",LEGACY_KEEP,38a79c
GB_HCW_016,HOW_COMPUTERS_WORK,HCW_C04_DATA_AND_FILES,HCW_F06_DIGITAL_REPRESENTATION,HCW_FAM06_DIGITAL_REPRESENTATION_RECOGNITION,HCW_RG_DATA_MODEL,D1,REMEMBER,mcq_single,How is a photograph stored on a computer?,As a very small physical picture,As a description in words of what the picture shows,As numbers describing the picture,Photographs cannot be stored; only their file names can,C,As numbers describing the picture,"Everything a computer holds is held as numbers, whatever it looks like when shown. The image a person sees is produced from those numbers when it is displayed.",AUTHORED,
GB_HCW_017,HOW_COMPUTERS_WORK,HCW_C04_DATA_AND_FILES,HCW_F06_DIGITAL_REPRESENTATION,HCW_FAM06_DIGITAL_REPRESENTATION_RECOGNITION,HCW_RG_DATA_MODEL,D1,REMEMBER,mcq_single,"Text, images and sound are stored on a computer in what form?","Text as letters, images as pictures, sound as waves",All three as numbers,"Text as numbers, and images and sound in their own separate forms",Only text as numbers; the rest are stored as files,B,All three as numbers,"A single kind of storage holds all of them, which is why one file can contain several and why any of them can be copied by the same mechanism. What differs is how the numbers are interpreted.",AUTHORED,
GB_HCW_018,HOW_COMPUTERS_WORK,HCW_C04_DATA_AND_FILES,HCW_F06_DIGITAL_REPRESENTATION,HCW_FAM06_DIGITAL_REPRESENTATION_RECOGNITION,HCW_RG_DATA_MODEL,D1,REMEMBER,mcq_single,"Two files hold the same numbers but are opened by different programs, and one shows an image while the other produces noise. How is that possible?",One of the two programs is faulty,The files must actually hold different numbers,The numbers change when a different program opens them,The numbers carry no meaning of their own; the program decides how to interpret them,D,The numbers carry no meaning of their own; the program decides how to interpret them,"Storage holds numbers and nothing more, so what those numbers represent is a matter of how they are read. This is exactly why opening a file with the wrong program produces nonsense rather than an error.",AUTHORED,
GB_HCW_019,HOW_COMPUTERS_WORK,HCW_C04_DATA_AND_FILES,HCW_F07_FILES_PERSIST,HCW_FAM07_PERSISTENCE_REASONING,HCW_RG_DATA_MODEL,D2,APPLY,mcq_single,Which of these normally keeps its contents after the power is switched off?,A solid-state drive,Working memory,The processor cache,A processor register,A,A solid-state drive,Storage is designed to hold data without power; the other three hold what is needed while the machine is running and lose it when it stops. That is the whole reason saving exists.,LEGACY_KEEP,3945d3
GB_HCW_020,HOW_COMPUTERS_WORK,HCW_C04_DATA_AND_FILES,HCW_F07_FILES_PERSIST,HCW_FAM07_PERSISTENCE_REASONING,HCW_RG_DATA_MODEL,D3,APPLY,mcq_single,A document was saved an hour ago and has been edited since without being saved again. The machine loses power. What is on the disk afterwards?,"The document with all the edits, saved automatically at shutdown","Nothing, because the document was open when the power failed",The version saved an hour ago; the later edits are gone,"The edits only, since they were the most recent change",C,The version saved an hour ago; the later edits are gone,"Saving is what puts data on storage, and edits that were never saved existed only in working memory. The saved version is untouched by the failure, which is why the loss is partial rather than total.",LEGACY_REWRITE,380965
GB_HCW_021,HOW_COMPUTERS_WORK,HCW_C05_OS_AND_APPS,HCW_F08_OS_MEDIATES,HCW_FAM08_OS_ROLE_IN_STACK,HCW_RG_SYSTEM_DATA_FLOW,D2,ANALYZE,mcq_single,Where does an application sit in relation to the operating system and the hardware?,"The application reaches the hardware, and the operating system watches","The application asks the operating system, which reaches the hardware","The hardware calls the application, which reports to the operating system","The application and the hardware deal with each other directly, with no operating system involved",B,"The application asks the operating system, which reaches the hardware",The operating system sits in the middle and is asked for everything an application cannot do itself. Leaving it out of the path is the commonest way the arrangement is misdescribed.,LEGACY_REWRITE,c67f3b
GB_HCW_022,HOW_COMPUTERS_WORK,HCW_C05_OS_AND_APPS,HCW_F08_OS_MEDIATES,HCW_FAM08_OS_ROLE_IN_STACK,HCW_RG_SYSTEM_DATA_FLOW,D3,ANALYZE,mcq_single,A word processor saves a document. Put the parts in the order the request passes through them.,"Word processor, storage device, operating system","Operating system, word processor, storage device","Word processor, storage device","Word processor, operating system, storage device",D,"Word processor, operating system, storage device","The application makes the request, the operating system carries it out, and the device does what it is told. Each other order either reverses two neighbours or removes the layer that makes the request possible.",AUTHORED,
GB_HCW_023,HOW_COMPUTERS_WORK,HCW_C05_OS_AND_APPS,HCW_F08_OS_MEDIATES,HCW_FAM08_OS_ROLE_IN_STACK,HCW_RG_SYSTEM_DATA_FLOW,D4,ANALYZE,mcq_single,"The same word processor saves documents to a hard disk on one machine and to a network location on another, and the application was not changed between them. What does that show about the arrangement?","The application asks for a save and the operating system decides how to carry it out, so the difference never reaches the application",The application contains code for both kinds of destination and chooses between them,The two machines run different versions of the application,A network location is treated as a hard disk by the hardware itself,A,"The application asks for a save and the operating system decides how to carry it out, so the difference never reaches the application","An unchanged application producing correct behaviour on two very different destinations means the difference is handled below it. If the application drove the hardware itself, it would need to know which kind it was talking to.",AUTHORED,
